HDI Rank;Country;2000;2005;2010;2013
1;Norway;0.106;0.085;0.075;0.068
2;Australia;0.158;0.139;0.134;0.113
3;Switzerland;0.1;0.084;0.067;0.03
4;Netherlands;0.078;0.069;0.05;0.057
5;United States;..;0.288;0.285;0.262
6;Germany;0.132;0.117;0.097;0.046
7;New Zealand;0.191;0.193;0.198;0.185
8;Canada;..;0.141;0.139;0.136
9;Singapore;..;0.137;0.094;0.09
10;Denmark;0.079;0.068;0.068;0.056
11;Ireland;0.204;0.195;0.169;0.115
12;Sweden;0.062;0.053;0.05;0.054
13;Iceland;0.14;0.121;0.096;0.088
14;United Kingdom;0.228;0.216;0.197;0.193
15;Korea (Republic of);..;0.116;0.102;0.101
15;Hong Kong, China (SAR);..;..;..;..
17;Japan;0.136;0.149;0.122;0.138
18;Liechtenstein;..;..;..;..
19;Israel;0.192;0.171;0.143;0.101
20;France;0.182;0.157;0.125;0.08
21;Luxembourg;0.169;0.176;0.178;0.154
21;Belgium;0.123;0.104;0.093;0.068
21;Austria;0.16;0.129;0.121;0.056
24;Finland;0.088;0.089;0.077;0.075
25;Slovenia;..;0.141;0.131;0.021
26;Italy;0.184;0.175;0.123;0.067
27;Spain;0.119;0.118;0.113;0.1
28;Czech Republic;0.205;0.153;0.136;0.087
29;Greece;..;0.179;0.16;0.146
30;Brunei Darussalam;..;..;..;..
31;Qatar;..;..;0.547;0.524
32;Cyprus;..;0.15;0.138;0.136
33;Estonia;0.29;0.241;..;0.154
34;Saudi Arabia;..;0.685;0.656;0.321
35;Poland;0.208;0.16;0.164;0.139
35;Lithuania;..;0.193;0.167;0.116
37;Slovakia;0.249;0.195;0.195;0.164
37;Andorra;..;..;..;..
39;Malta;..;0.27;0.267;0.22
40;United Arab Emirates;0.625;0.604;0.234;0.244
41;Portugal;0.189;0.17;0.138;0.116
41;Chile;0.437;0.396;0.363;0.355
43;Hungary;..;0.234;0.281;0.247
44;Cuba;0.419;0.379;0.361;0.35
44;Bahrain;..;0.34;0.272;0.253
46;Kuwait;0.581;0.373;0.264;0.288
47;Croatia;0.208;0.194;0.184;0.172
48;Latvia;0.3;0.214;0.252;0.222
49;Argentina;0.425;0.381;0.384;0.381
50;Uruguay;0.403;0.386;0.357;0.364
51;Montenegro;..;..;..;..
51;Bahamas;..;..;..;0.316
53;Belarus;..;..;..;0.152
54;Romania;..;0.33;0.331;0.32
55;Libya;..;0.339;0.279;0.215
56;Oman;..;..;..;0.348
57;Russian Federation;0.425;0.351;0.327;0.314
58;Bulgaria;..;0.222;0.23;0.207
59;Barbados;0.358;0.349;0.357;0.35
60;Palau;..;..;..;..
61;Antigua and Barbuda;..;..;..;..
62;Malaysia;0.31;0.29;0.269;0.21
63;Mauritius;..;0.356;0.381;0.375
64;Trinidad and Tobago;..;0.349;0.325;0.321
65;Panama;..;0.486;0.511;0.506
65;Lebanon;..;..;..;0.413
67;Venezuela (Bolivarian Republic of);..;0.474;0.469;0.464
68;Costa Rica;0.446;0.391;0.351;0.344
69;Turkey;..;0.518;0.42;0.36
70;Kazakhstan;0.407;0.369;0.338;0.323
71;Seychelles;..;..;..;..
71;Mexico;0.494;0.428;0.407;0.376
73;Sri Lanka;..;0.445;0.408;0.383
73;Saint Kitts and Nevis;..;..;..;..
75;Iran (Islamic Republic of);0.622;0.527;0.535;0.51
76;Azerbaijan;..;..;..;0.34
77;Serbia;..;..;..;..
77;Jordan;0.639;0.572;0.502;0.488
79;Grenada;..;..;..;..
79;Georgia;..;..;..;..
79;Brazil;0.515;0.473;0.446;0.441
82;Peru;..;0.442;0.384;0.387
83;Ukraine;..;0.357;0.351;0.326
84;The former Yugoslav Republic of Macedonia;..;..;..;0.162
84;Belize;0.525;0.489;0.452;0.435
86;Bosnia and Herzegovina;..;..;..;0.201
87;Armenia;0.458;0.392;0.337;0.325
88;Fiji;..;0.387;..;..
89;Thailand;0.458;0.405;0.379;0.364
90;Tunisia;..;0.335;..;0.265
91;Saint Vincent and the Grenadines;..;..;..;..
91;China;0.572;0.219;0.209;0.202
93;Dominica;..;..;..;..
93;Algeria;0.621;0.552;0.505;0.425
95;Albania;..;0.367;0.269;0.245
96;Jamaica;0.457;0.465;0.463;0.457
97;Saint Lucia;..;..;..;..
98;Ecuador;0.507;0.485;0.447;0.429
98;Colombia;0.522;0.506;0.466;0.46
100;Tonga;0.664;0.468;0.476;0.458
100;Suriname;..;..;..;0.463
102;Dominican Republic;0.524;0.514;0.506;0.505
103;Turkmenistan;..;..;..;..
103;Mongolia;..;0.401;0.406;0.32
103;Maldives;..;0.424;0.35;0.283
106;Samoa;..;..;..;0.517
107;Palestine, State of;..;..;..;..
108;Indonesia;..;0.551;0.508;0.5
109;Botswana;0.529;0.535;0.497;0.486
110;Egypt;0.66;0.604;..;0.58
111;Paraguay;0.541;0.518;0.48;0.457
112;Gabon;..;0.547;0.517;0.508
113;Bolivia (Plurinational State of);0.576;0.542;0.478;0.472
114;Moldova (Republic of);..;0.311;0.32;0.302
115;El Salvador;..;0.517;0.466;0.441
116;Uzbekistan;..;..;..;..
117;Philippines;0.477;0.458;0.43;0.406
118;Syrian Arab Republic;..;0.561;0.546;0.556
118;South Africa;0.513;0.507;0.47;0.461
120;Iraq;..;0.797;0.548;0.542
121;Viet Nam;0.363;0.332;0.329;0.322
121;Guyana;0.528;0.531;0.536;0.524
123;Cape Verde;..;..;..;..
124;Micronesia (Federated States of);..;..;..;..
125;Kyrgyzstan;0.49;0.676;0.349;0.348
125;Guatemala;..;0.577;0.547;0.523
127;Namibia;0.519;0.503;0.471;0.45
128;Timor-Leste;..;..;..;..
129;Morocco;0.664;0.513;0.486;0.46
129;Honduras;..;0.516;0.504;0.482
131;Vanuatu;..;..;..;..
132;Nicaragua;..;0.528;0.505;0.458
133;Tajikistan;0.452;0.385;0.38;0.383
133;Kiribati;..;..;..;..
135;India;..;0.621;0.59;0.563
136;Cambodia;0.599;0.552;0.494;0.505
136;Bhutan;..;..;..;0.495
138;Ghana;..;0.582;0.569;0.549
139;Lao People's Democratic Republic;0.604;0.568;0.542;0.534
140;Congo;0.613;0.618;0.62;0.617
141;Zambia;..;0.635;0.614;0.617
142;Sao Tome and Principe;..;..;..;..
142;Bangladesh;..;0.587;0.539;0.529
144;Equatorial Guinea;..;..;..;..
145;Nepal;0.658;0.63;0.496;0.479
146;Pakistan;..;0.613;0.561;0.563
147;Kenya;0.682;0.642;0.606;0.548
148;Swaziland;0.613;0.577;0.542;0.529
149;Angola;..;..;..;..
150;Myanmar;..;..;0.459;0.43
151;Rwanda;0.544;0.472;0.428;0.41
152;Nigeria;..;..;..;..
152;Cameroon;..;0.666;0.635;0.622
154;Yemen;0.814;0.778;0.743;0.733
155;Madagascar;..;..;..;..
156;Zimbabwe;..;0.576;0.562;0.516
157;Solomon Islands;..;..;..;..
157;Papua New Guinea;0.664;0.686;0.674;0.617
159;Tanzania (United Republic of);..;0.585;0.556;0.553
159;Comoros;..;..;..;..
161;Mauritania;0.763;..;0.651;0.644
162;Lesotho;0.6;0.582;0.561;0.557
163;Senegal;0.621;0.592;0.554;0.537
164;Uganda;0.634;0.597;..;0.529
165;Benin;..;0.65;0.61;0.614
166;Togo;..;0.629;0.595;0.579
166;Sudan;..;0.68;0.641;0.628
168;Haiti;..;0.574;0.596;0.599
169;Afghanistan;..;0.743;0.72;0.705
170;Djibouti;..;..;..;..
171;Cªte d'Ivoire;..;0.669;0.651;0.645
172;Gambia;0.718;0.614;0.623;0.624
173;Ethiopia;..;..;..;0.547
174;Malawi;..;0.654;0.599;0.591
175;Liberia;0.688;0.675;0.657;0.655
176;Mali;0.707;0.706;0.686;0.673
177;Guinea-Bissau;..;..;..;..
178;Mozambique;0.672;0.683;0.666;0.657
179;Guinea;..;..;..;..
180;Burundi;0.597;0.532;0.506;0.501
181;Burkina Faso;..;..;..;0.607
182;Eritrea;..;..;..;..
183;Sierra Leone;..;0.658;0.649;0.643
184;Chad;..;..;..;0.707
185;Central African Republic;..;0.682;..;0.654
186;Congo (Democratic Republic of the);..;0.673;0.672;0.669
187;Niger;0.818;0.729;..;0.674
..;South Sudan;..;..;..;..
..;Tuvalu;..;..;..;..
..;Somalia;..;..;..;..
..;San Marino;..;..;..;..
..;Nauru;..;..;..;..
..;Monaco;..;..;..;..
..;Marshall Islands;..;..;..;..
..;Korea (Democratic People's Rep. of);..;..;..;..
